ReactorLoadID,LabRequestNumber,job_number,pcn,time_submitted,created_by,request_type,testing_area,reactor,load_start,load_end,load_status,priority,sample_count,sample_numbers,sample_types,test_condition_count,NOx_Removal_count,SO2_Oxidation_count,CO_Oxidation_count,VOC_Oxidation_count,Hg_Oxidation_count,CH2O_Oxidation_count,test_conditions,testconditiondescription,SO2,CO,NO,NO2
658,LR-25-00160,240466,2752,2025-03-05 18:30:50.825693,b.alligood,Field Samples,,,,,Backlog,118,1,SAGU-1-1-25-0225,Honeycomb,1,1,0,0,0,0,0,NOx Removal,Saguaro,,,55.5,
657,LR-25-00159,250049,4909,2025-03-03 12:52:31.130586,congerma,Field Samples,,,,,Backlog,120,1,DELT-1-25-0227,Honeycomb,1,1,0,0,0,0,0,NOx Removal,Guardian Glass,100.0,,1420.26,
656,LR-25-00158,240540,,2025-03-03 10:05:08.093236,c.decker,Regen,,,,,Backlog,150,1,240540-PCS-2,Plate,2,1,1,0,0,0,0,"NOx Removal, SO2 Oxidation",Gibson U1 NOx; Gibson U1 SO2,2775.0,,277.0,
655,LR-25-00157,240540,,2025-03-03 10:01:48.818841,c.decker,Regen,,,,,Backlog,151,1,240540-PCS-1,Plate,2,1,1,0,0,0,0,"NOx Removal, SO2 Oxidation",Gibson U1 NOx; Gibson U1 SO2,2775.0,,277.0,
653,LR-25-00156,230542,6186,2025-02-28 14:46:21.437804,thornburgba,Quality Plan,,,,,Backlog,184,1,6186 LL2,Honeycomb,1,1,0,0,0,0,0,NOx Removal,AECI Siemens (6186) - NOx Type 2,,,,
654,LR-25-00156,230542,6186,2025-02-28 14:46:21.437804,thornburgba,Quality Plan,,,,,Backlog,183,1,6186 LL3,Honeycomb,1,1,0,0,0,0,0,NOx Removal,AECI Siemens (6186) - NOx Type 2,,,,
648,LR-25-00155,240587,5782,2025-02-28 14:37:26.264301,thornburgba,Quality Plan,,,,,Backlog,162,1,5782 LL1,Honeycomb,2,1,1,0,0,0,0,"NOx Removal, SO2 Oxidation",DTE Monroe U2 L4 sp26 (5782) NOx - EPRI/VGB; DTE Monroe U2 L4 sp26 (5782) SO2 Oxidation,,,,
649,LR-25-00155,240587,5782,2025-02-28 14:37:26.264301,thornburgba,Quality Plan,,,,,Backlog,161,1,5782 LL2,Honeycomb,1,1,0,0,0,0,0,NOx Removal,DTE Monroe U2 L4 sp26 (5782) NOx - EPRI/VGB,,,,
650,LR-25-00155,240587,5782,2025-02-28 14:37:26.264301,thornburgba,Quality Plan,,,,,Backlog,160,1,5782 LL3,Honeycomb,1,1,0,0,0,0,0,NOx Removal,DTE Monroe U2 L4 sp26 (5782) NOx - EPRI/VGB,,,,
651,LR-25-00155,240587,5782,2025-02-28 14:37:26.264301,thornburgba,Quality Plan,,,,,Backlog,159,1,5782 LL4,Honeycomb,2,1,1,0,0,0,0,"NOx Removal, SO2 Oxidation",DTE Monroe U2 L4 sp26 (5782) NOx - EPRI/VGB; DTE Monroe U2 L4 sp26 (5782) SO2 Oxidation,,,,
652,LR-25-00155,240587,5782,2025-02-28 14:37:26.264301,thornburgba,Quality Plan,,,,,Backlog,158,1,5782 LL5,Honeycomb,1,1,0,0,0,0,0,NOx Removal,DTE Monroe U2 L4 sp26 (5782) NOx - EPRI/VGB,,,,
644,LR-25-00154,240445,5773,2025-02-28 14:30:21.390388,thornburgba,Quality Plan,,,,,Backlog,157,1,5773 LL1,Honeycomb,2,1,1,0,0,0,0,"NOx Removal, SO2 Oxidation","Cumberland Unit 1 Fall 2025, New Portion (5773) NOx - EPRI/VGB; Cumberland Unit 1 Fall 2025, New Portion (5773) SO2 Oxidation",,,,
645,LR-25-00154,240445,5773,2025-02-28 14:30:21.390388,thornburgba,Quality Plan,,,,,Backlog,156,1,5773 LL2,Honeycomb,1,1,0,0,0,0,0,NOx Removal,"Cumberland Unit 1 Fall 2025, New Portion (5773) NOx - EPRI/VGB",,,,
646,LR-25-00154,240445,5773,2025-02-28 14:30:21.390388,thornburgba,Quality Plan,,,,,Backlog,155,1,5773 LL3,Honeycomb,1,1,0,0,0,0,0,NOx Removal,"Cumberland Unit 1 Fall 2025, New Portion (5773) NOx - EPRI/VGB",,,,
647,LR-25-00154,240445,5773,2025-02-28 14:30:21.390388,thornburgba,Quality Plan,,,,,Backlog,154,1,5773 LL4,Honeycomb,2,1,1,0,0,0,0,"NOx Removal, SO2 Oxidation","Cumberland Unit 1 Fall 2025, New Portion (5773) NOx - EPRI/VGB; Cumberland Unit 1 Fall 2025, New Portion (5773) SO2 Oxidation",,,,
642,LR-25-00153,230593,5747,2025-02-28 13:47:48.781858,thornburgba,Quality Plan,,,,,Backlog,153,1,5747-0101-0440,Honeycomb,2,1,1,0,0,0,0,"NOx Removal, SO2 Oxidation",DTE Monroe U4L4 Spr 2025 (5747) - NOx EPRI/VGB; DTE Monroe U4L4 Spr 2025 (5747) - SO2 Oxidation,,,,
643,LR-25-00153,230593,5747,2025-02-28 13:47:48.781858,thornburgba,Quality Plan,,,,,Backlog,152,1,5747-0201-0375,Honeycomb,2,1,1,0,0,0,0,"NOx Removal, SO2 Oxidation",DTE Monroe U4L4 Spr 2025 (5747) - NOx EPRI/VGB; DTE Monroe U4L4 Spr 2025 (5747) - SO2 Oxidation,,,,
639,LR-25-00152,240571,5780,2025-02-28 13:17:00.796930,thornburgba,Quality Plan,,,,,Backlog,143,1,5780 LL1,Honeycomb,2,1,1,0,0,0,0,"NOx Removal, SO2 Oxidation",Weston New DB Fall 2025 (5780) NOx - EPRI/VGB; Weston New DB Fall 2025 (5780) SO2 Oxidation,,,,
640,LR-25-00152,240571,5780,2025-02-28 13:17:00.796930,thornburgba,Quality Plan,,,,,Backlog,144,1,5780 LL2,Honeycomb,1,1,0,0,0,0,0,NOx Removal,Weston New DB Fall 2025 (5780) NOx - EPRI/VGB,,,,
641,LR-25-00152,240571,5780,2025-02-28 13:17:00.796930,thornburgba,Quality Plan,,,,,Backlog,145,1,5780 LL3,Honeycomb,1,1,0,0,0,0,0,NOx Removal,Weston New DB Fall 2025 (5780) NOx - EPRI/VGB,,,,
638,LR-25-00151,250003,6412,2025-02-28 12:39:47.114457,thornburgba,Quality Plan,,,,,Backlog,182,1,6412 LL1,Honeycomb,1,1,0,0,0,0,0,NOx Removal,Bill Greehey Crude Heaters Spare (6412) NOx Type 2,,,,
637,LR-25-00149,210445-1,2907,2025-02-28 12:37:21.822830,k.johnson,Field Samples,Quarter Bench,,2025-02-28 16:24:00,2025-02-28 23:13:00,Test Complete,100,1,GREE-1A-1-30-1024,Plate,1,0,0,1,0,0,0,CO Oxidation,2907 Greensville CO Ox,,100.0,37.2,
636,LR-25-00150,240535,6368,2025-02-28 12:36:22.675617,thornburgba,Quality Plan,,,,,Backlog,181,1,6368 LL1,Honeycomb,2,2,0,0,0,0,0,"NOx Removal, NOx Removal",Goldstrike 4 2025 (6368) NOx Type 2; S37-15STb Standard Activity Test,,,25.0,
633,LR-25-00148,250004,5786,2025-02-28 12:30:26.366420,thornburgba,Quality Plan,,,,,Backlog,140,1,5786 LL1,Honeycomb,2,1,1,0,0,0,0,"NOx Removal, SO2 Oxidation",Lightstone Gavin Fall 2025 Rx 1 and 3 - 26x6 (5786) NOx - EPRI/VGB; Lightstone Gavin Fall 2025 Rx 1 and 3 - 26x6 (5786) SO2 Oxidation,,,,
634,LR-25-00148,250004,5786,2025-02-28 12:30:26.366420,thornburgba,Quality Plan,,,,,Backlog,141,1,5786 LL2,Honeycomb,1,1,0,0,0,0,0,NOx Removal,Lightstone Gavin Fall 2025 Rx 1 and 3 - 26x6 (5786) NOx - EPRI/VGB,,,,
635,LR-25-00148,250004,5786,2025-02-28 12:30:26.366420,thornburgba,Quality Plan,,,,,Backlog,142,1,5786 LL3,Honeycomb,1,1,0,0,0,0,0,NOx Removal,Lightstone Gavin Fall 2025 Rx 1 and 3 - 26x6 (5786) NOx - EPRI/VGB,,,,
631,LR-25-00147,250004,5785,2025-02-27 15:41:58.699174,thornburgba,Quality Plan,,,,,Backlog,138,1,5785 LL1,Honeycomb,2,1,1,0,0,0,0,"NOx Removal, SO2 Oxidation",Lightstone Gavin Fall 2025 Rx 1 and 3 - 18x9 (5785) NOx EPRI/VGB; Lightstone Gavin Fall 2025 Rx 1 and 3 - 18x9 (5785) SO2 Oxidation,,,,
632,LR-25-00147,250004,5785,2025-02-27 15:41:58.699174,thornburgba,Quality Plan,,,,,Backlog,139,1,5785 LL2,Honeycomb,1,1,0,0,0,0,0,NOx Removal,Lightstone Gavin Fall 2025 Rx 1 and 3 - 18x9 (5785) NOx EPRI/VGB,,,,
630,LR-25-00146,240378,6334,2025-02-27 13:17:22.463677,thornburgba,Quality Plan,,,,,Backlog,180,1,6334-0101-0415,Honeycomb,1,1,0,0,0,0,0,NOx Removal,Torrance Reformer U4F-1 Repl 2024 (6334) Type 2,,,,
629,LR-25-00145,240594,6393,2025-02-27 13:10:40.405481,thornburgba,Quality Plan,,,,,Backlog,179,1,6393 LL1,Honeycomb,2,2,0,0,0,0,0,"NOx Removal, NOx Removal",311JA Solar Titan SCR Catalyst Replacement (6393) Type 2; S21-15ETb Standard Activity Test,,,25.0,
628,LR-25-00144,240598,6398,2025-02-27 12:56:43.980240,thornburgba,Quality Plan,,,,,Backlog,178,1,6398 LL1,Honeycomb,1,1,0,0,0,0,0,NOx Removal,Madison NOx Catalyst (6398) Type 2,,,,
627,LR-25-00143,240567,6384,2025-02-27 12:53:39.805690,thornburgba,Quality Plan,,,,,Backlog,177,1,6384 LL1,Honeycomb,2,1,0,1,0,0,0,"NOx Removal, CO Oxidation",Shenzhen Kaisheng ME Sabah Qibin (6384) Type 2; Shenzhen Kaisheng ME Sabah Qibin (6384) CO Oxidation,,,,
626,LR-25-00142,240597,6397,2025-02-27 12:48:36.242198,thornburgba,Quality Plan,,,,,Backlog,176,1,6397 LL1,Honeycomb,2,2,0,0,0,0,0,"NOx Removal, NOx Removal",Franklin NOx Catalyst (6397) Type 2; S59-15STa Standard Activity Test,,,25.0,
625,LR-25-00141,240601,6399,2025-02-27 12:24:49.205505,thornburgba,Quality Plan,,,,,Backlog,175,1,"6399 LL1, 6399 LL1","Honeycomb, Honeycomb",2,2,0,0,0,0,0,"NOx Removal, NOx Removal",MOD NC RFAAP (6399) NOx-Type 2; S33-15NDb Standard Activity Test,,,2.05,38.95
624,LR-25-00140,250041,5787,2025-02-27 12:09:55.585885,thornburgba,Quality Plan,,,,,Backlog,174,1,5787 LL1,Honeycomb,1,1,0,0,0,0,0,NOx Removal,S59-15STa Standard Activity Test,,,25.0,
623,LR-25-00139,240459,6371,2025-02-27 09:38:35.403255,thornburgba,Quality Plan,,,,,Backlog,173,1,"6371-0101-0201, 6371-0101-0201","Honeycomb, Honeycomb",1,0,0,1,0,0,0,CO Oxidation,Mir-Plains End M3 POA033767 (6371) CO Oxidation / VOC Removal,,,,
