Reactor Loads Summary (created on 2025-03-10 16:45:01)

================================================================================
RECENT REACTOR LOADS (after October 1, 2024)
================================================================================
LoadID | LRF Number | Job Number | PCN | Submitted Date | Submitted By | Test Type | Test Condition | Reactor | Condition Type | Sample Count
------------------------------------------------------------------------------------------------------------------------------------------------------
658 | LR-25-00160 | 240466 | 2752 | 2025-03-05 18:30:50.825693 | b.alligood | Bench | Saguaro | Full Bench | NOx Removal | 1
657 | LR-25-00159 | 250049 | 4909 | 2025-03-03 12:52:31.130586 | congerma | Bench | Guardian Glass | Full Bench | NOx Removal | 1
656 | LR-25-00158 | 240540 | N/A | 2025-03-03 10:05:08.093236 | c.decker | Bench | Gibson U1 NOx | Full Bench | NOx Removal | 1
655 | LR-25-00157 | 240540 | N/A | 2025-03-03 10:01:48.818841 | c.decker | Bench | Gibson U1 NOx | Full Bench | NOx Removal | 1
654 | LR-25-00156 | 230542 | 6186 | 2025-02-28 14:46:21.437804 | thornburgba | Bench | AECI Siemens (6186) - NOx Type 2 | Full Bench | NOx Removal | 1
653 | LR-25-00156 | 230542 | 6186 | 2025-02-28 14:46:21.437804 | thornburgba | Bench | AECI Siemens (6186) - NOx Type 2 | Full Bench | NOx Removal | 1
652 | LR-25-00155 | 240587 | 5782 | 2025-02-28 14:37:26.264301 | thornburgba | Bench | DTE Monroe U2 L4 sp26 (5782) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
651 | LR-25-00155 | 240587 | 5782 | 2025-02-28 14:37:26.264301 | thornburgba | Bench | DTE Monroe U2 L4 sp26 (5782) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
650 | LR-25-00155 | 240587 | 5782 | 2025-02-28 14:37:26.264301 | thornburgba | Bench | DTE Monroe U2 L4 sp26 (5782) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
649 | LR-25-00155 | 240587 | 5782 | 2025-02-28 14:37:26.264301 | thornburgba | Bench | DTE Monroe U2 L4 sp26 (5782) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
648 | LR-25-00155 | 240587 | 5782 | 2025-02-28 14:37:26.264301 | thornburgba | Bench | DTE Monroe U2 L4 sp26 (5782) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
647 | LR-25-00154 | 240445 | 5773 | 2025-02-28 14:30:21.390388 | thornburgba | Bench | Cumberland Unit 1 Fall 2025, New Portion (5773) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
646 | LR-25-00154 | 240445 | 5773 | 2025-02-28 14:30:21.390388 | thornburgba | Bench | Cumberland Unit 1 Fall 2025, New Portion (5773) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
645 | LR-25-00154 | 240445 | 5773 | 2025-02-28 14:30:21.390388 | thornburgba | Bench | Cumberland Unit 1 Fall 2025, New Portion (5773) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
644 | LR-25-00154 | 240445 | 5773 | 2025-02-28 14:30:21.390388 | thornburgba | Bench | Cumberland Unit 1 Fall 2025, New Portion (5773) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
643 | LR-25-00153 | 230593 | 5747 | 2025-02-28 13:47:48.781858 | thornburgba | Bench | DTE Monroe U4L4 Spr 2025 (5747) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
642 | LR-25-00153 | 230593 | 5747 | 2025-02-28 13:47:48.781858 | thornburgba | Bench | DTE Monroe U4L4 Spr 2025 (5747) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
