id,created_time,note,created_by_id,lab_request_id
1,2023-08-14 15:38:34.333125,The AV is at the report AV of 24.75 which is lower than the historical test AV,8,19
2,2023-08-28 12:46:11.125314,CM21ST 267mm,8,20
3,2023-09-11 10:49:12.236496,"AP=1053, Length=250",8,21
4,2023-09-21 16:38:21.083629,This is for unit 7290,11,24
5,2023-10-03 14:33:20.197524,Pacific Gas and Electric Company,12,16
6,2023-10-03 14:33:34.681771,Colusa Unit 2,12,16
7,2023-10-03 14:36:13.378427,CM21+,12,16
8,2023-10-03 14:36:26.722163,129mm,12,16
9,2023-10-04 08:58:36.167422,Customer: Jamaica Bay; Type: CM21+LHT; Length: 591,11,25
10,2023-10-05 14:08:36.437819,CM21+ Calpine Los Esteros L=256 AP-1668,8,27
11,2023-10-05 16:19:40.375886,S12-17Sta 81mm AP-2800,8,28
12,2023-10-09 13:05:50.952285,1 Layer,12,16
13,2023-10-16 11:35:18.949998,CO oxidation is required for this test!,8,30
14,2023-10-16 11:41:02.458182,S37-15STa 525mm,8,30
15,2023-10-16 13:17:18.328551,Product Spec CM21 310mm,8,31
16,2023-10-17 08:04:36.314838,Xcel Cherokee U5,12,32
17,2023-10-17 08:04:52.004862,CM21+,12,32
18,2023-10-17 08:05:13.662101,109mm,12,32
19,2023-10-17 08:05:30.849712,1 Layer,12,32
20,2023-10-20 16:07:48.173026,CM21 L-165mm AP 1629,8,33
21,2023-10-20 17:49:15.237728,"2-Layer, Test NOx manually between layers, can be bench or pilot, L-416mm x 2, S33-15STb AP1016 Flow is vertical up, so Bottom is 1st layer, top is 2nd layer",8,34
22,2023-10-20 18:33:49.785932,L-769mm S33-15STb AP-1016 Can be bench or pilot,8,35
23,2023-10-20 18:35:20.030621,First Layer sample should be 4884-0101-0431 not what is shown!!!,8,34
24,2023-10-25 12:29:26.105122,Customer: UAMPS Product: CM21+ Length: 111,11,36
25,2023-10-30 11:29:09.126852,Southern Company Plant Franklin 2A,12,37
26,2023-10-30 11:31:05.833643,CM21ST 151mm,12,37
27,2023-10-30 11:32:03.078465,1 Layer,12,37
28,2023-10-30 13:10:48.326743,SCR: CM21+ 175-mm AP-1668 CO: Ramp temp from 162-430,8,38
29,2023-11-01 16:54:47.779106,Unit 4 - Customer: EIF Channelview Type: CM21+ Length: 275,11,40
30,2023-11-06 09:11:01.871252,Located in WPS folder in L drive. Under East Syracuse,12,41
31,2023-11-06 09:12:29.006900,CM33T 540mm,12,41
32,2023-11-06 09:12:37.116337,1 Layer,12,41
33,2023-11-07 10:38:11.704670,Non Cormetech Catalyst,12,39
34,2023-11-07 10:38:26.407754,Baytown Olefins Plant Train 3,12,39
35,2023-11-07 10:38:50.407707,Ran as CM37 in 2022,12,39
36,2023-11-07 10:39:03.517085,2 Layers 408mm each,12,39
37,2023-11-07 14:49:35.164853,CM21+ 154mm AP-1668,8,42
38,2023-11-10 10:13:11.569041,Independence (Sithe) Unit 1 2203,12,45
39,2023-11-10 09:51:25.156742,1 Layer CM21+ 192mm,12,45
40,2023-11-10 10:14:03.132777,Independence (Sithe) Unit 1 2203,12,46
41,2023-11-10 09:53:52.964258,1 Layer CM21+ 192mm,12,46
42,2023-11-10 10:14:45.855029,Independence (Sithe) Unit 2 2431,12,47
43,2023-11-10 09:55:56.000988,1 Layer CM21+ 192mm,12,47
44,2023-11-10 10:15:34.824919,Independence (Sithe) Unit 3 2370,12,48
45,2023-11-10 10:05:10.332133,1 Layer CM21+ 192mm,12,48
46,2023-11-10 11:00:09.040971,Independence (Sithe) Unit 3 2370,12,49
47,2023-11-10 10:06:48.290730,1 Layer CM21+ 192mm,12,49
48,2023-11-10 11:00:52.978890,Independence (Sithe) Unit 4 2286,12,50
49,2023-11-10 10:08:13.471284,1 Layer CM21+ 192mm,12,50
50,2023-11-10 10:09:41.941574,1 Layer CM21+ 192mm,12,51
51,2023-11-10 11:01:22.214471,Independence (Sithe) Unit 4 2286,12,51
52,2023-11-10 17:19:54.745278,"S14-15MPb AP-2445 L-202mm Need both CO ox and deNOx test for both conditions. For 2nd (low load) condition, the target deNOx is 92.1%",8,52
53,2023-11-13 12:59:24.014028,"S14-15MPb AP-2445 L-202mm Need both CO ox and deNOx test for both conditions. For 2nd (low load) condition, the target deNOx is 92.1%",8,53
54,2023-11-14 11:04:25.461502,Customer: Ethos Energy Product: CM33 Length: 514,11,54
55,2023-11-15 14:36:00.839797,Product Spec S14-15STb Target Length	87 Target AP 2445,8,55
56,2023-11-15 16:25:53.177462,S33-15STa 660mm AP-1075,8,56
57,2023-11-15 16:53:01.597651,CM21+MHT L-348 AP-1674,8,57
58,2023-11-16 14:35:42.735385,1 Layer CM21TG-ACT 120mm,12,59
59,2023-11-16 14:36:32.382643,Garrison Unit 1 2647,12,59
60,2023-11-17 09:30:22.148337,Customer: Public Service Company of New Mexico Product: CM21+ Length: 124,11,58
61,2023-11-21 15:49:43.362483,Customer: Vistra Product: CM21 Length: 360,11,60
62,2023-11-21 16:20:08.123922,Customer: Interpipeline Product: S14-15STb Length: 69,11,61
63,2023-11-21 17:14:59.426878,NOTE: We did inject 12% NO2 for the Ko and previous test.,11,62
64,2023-11-21 17:17:49.551536,Customer: J Power (CMI Jackson in lab folders) Product: S14-15NDb Length: 138,11,62
65,2023-11-29 10:13:24.955704,CM21+LHT 222mm   please add 100 ppm CO injection to understand if any oxidation occurs.,8,63
66,2023-11-29 15:49:57.439599,Customer: Dominion Product: CM21+ Length: 248,11,65
67,2023-11-29 17:17:24.769322,S59-15STa 957mm,8,64
68,2023-11-30 11:40:08.134715,S27-15STa 431mm AP-1335,8,66
69,2023-11-30 16:03:05.248414,Customer: Lakeland Electric Product: S21-15STa Length: 167,11,67
70,2023-12-01 16:11:39.419421,Customer: Valero Product: S21-15STc Length: 296,11,68
71,2023-12-04 09:34:50.023129,4 separate tests at the same condition,12,69
72,2023-12-04 09:34:59.680761,1 layer tests,12,69
73,2023-12-04 09:37:31.977477,S21-15STc 388mm,12,69
74,2023-12-04 09:38:46.551584,Sentinel Replacement 2021 (4558),12,69
75,2023-12-04 10:00:11.192098,Sabine River Works (2898),12,70
76,2023-12-04 10:00:22.912742,Ethylene Cracking Furnace BA 109,12,70
77,2023-12-04 10:00:55.168328,CM33ST 1043mm 1 Layer,12,70
78,2023-12-04 10:01:07.795424,28% WATER!!!,12,70
79,2023-12-04 10:43:30.884828,CM21+ 151mm 1 Layer,12,71
80,2023-12-04 10:43:57.826119,Vistra Energy - Kendall,12,71
81,2023-12-04 10:44:09.560663,Unit 3,12,71
82,2023-12-07 16:35:25.070696,Sentinel Replacement 2021 (4558),12,72
83,2023-12-07 16:35:42.383999,S21-12STc 388mm,12,72
84,2023-12-07 16:35:50.041961,1 Layer,12,72
85,2023-12-07 16:36:42.314152,Sentinel Unit 1,12,72
86,2023-12-11 14:20:58.507074,S12-17MPa Target Length 50mm Target AP 2800,8,73
87,2023-12-11 14:25:12.317458,S12-17MPa Target Length 50mm Target AP 2800,8,74
88,2023-12-11 19:39:49.995579,CM21 AP-1629 L-295mm K~54,8,75
90,2023-12-11 20:49:17.367361,L1: CM21 L245mm AP1629 L2: CM27 L151 AP1258,8,81
91,2023-12-19 16:06:58.625733,Please request BET-SA for M as well. LEMUR would not add this test.,8,83
92,2024-01-02 11:11:48.257307,AP=930 L-490mm,8,84
93,2024-01-02 11:20:56.499356,AP=930 L-490mm,8,87
94,2024-01-02 15:43:01.378080,Please measure CO oxidation of catalyst. Customer: Diamond Generating Corporation Product: CM27MHT Length: 660,11,88
95,2024-01-03 13:20:31.632439,Tiverton Power (Cogentrix),12,89
96,2024-01-03 13:20:43.055392,Unit G001,12,89
97,2024-01-03 13:21:07.918279,CM27 370mm 1 Layer,12,89
98,2024-01-03 13:46:47.189250,Valero Corpus Christi,12,90
99,2024-01-03 13:48:34.919497,CM21ST 294mm 1 Layer,12,90
100,2024-01-03 13:57:46.463478,Owner: PRO-TEC Product Spec S27-15STa Length 840 AP 1335,8,91
101,2024-01-03 14:59:03.951969,Owner: Calpine L-244 AP-1629 CM21,8,92
102,2024-01-04 11:50:35.421811,"owner:Tenaris Global City (USA) Corp, CM59Tg 676mm, 580 AP, please double the AV to 28.4 Nm/hr as the original test was two-layer",17,94
103,2024-01-04 18:45:02.092236,1006-1511-0695 is Unit 3A,12,93
104,2024-01-04 18:45:34.359549,1006-1511-0702 is Unit 3B,12,93
105,2024-01-04 18:46:04.863105,Gila River Unit 3A and 3B (Salt River Project),12,93
106,2024-01-04 18:46:27.770796,CM27 270mm 1 Layer (2 Tests),12,93
107,2024-01-08 11:44:35.554965,Customer: Vistra Product: CM21 Length: 360,11,95
108,2024-01-08 11:45:27.669008,Unit 1 (0493) Unit 2 (0422),11,95
109,2024-01-08 12:32:04.058955,S21-15STc,12,96
110,2024-01-08 12:32:26.201698,217mm,12,96
111,2024-01-08 12:33:07.437973,AP 1709,12,96
