id,lab_request_id,sample_id,reactor_test
1,2,1,False
2,4,4,True
3,4,5,True
4,4,6,True
5,4,7,True
6,4,8,True
7,6,4,True
8,6,5,True
9,6,6,True
10,6,7,True
11,6,8,True
12,7,16,True
13,7,17,True
14,7,18,True
15,7,19,True
16,8,9,True
17,8,10,True
18,8,11,True
19,8,12,True
20,8,13,True
21,9,21,True
22,9,22,True
23,9,23,True
24,10,20,True
25,11,25,True
26,12,27,True
27,13,26,True
28,14,28,True
29,15,33,True
30,15,34,True
31,15,35,True
32,15,36,True
33,16,38,True
34,17,29,True
35,17,30,True
36,17,31,True
37,17,32,True
38,18,37,True
39,19,39,True
40,20,40,True
41,21,41,True
42,22,42,True
43,23,44,True
44,23,45,True
45,24,43,True
46,25,46,True
47,26,47,True
48,27,54,True
49,27,55,True
50,28,48,True
51,28,49,True
52,30,60,True
53,31,56,True
54,32,59,True
55,33,65,True
56,34,62,True
57,34,63,True
58,35,64,True
59,36,61,True
60,37,71,True
61,38,68,True
62,38,69,True
63,38,70,True
64,38,74,True
65,40,67,True
66,41,66,True
67,39,73,True
68,42,77,True
69,42,78,True
70,43,79,True
71,43,82,True
72,45,91,True
73,46,92,True
74,47,89,True
75,48,90,True
76,49,87,True
77,50,86,True
78,51,88,True
79,52,95,True
80,53,95,True
81,54,96,True
82,55,97,True
83,56,102,True
84,57,101,True
85,58,100,True
86,59,98,True
87,60,84,True
88,60,85,True
89,61,75,True
90,61,76,True
91,62,93,True
92,62,94,True
93,63,113,True
94,63,114,True
95,64,103,True
96,64,104,True
97,64,105,True
98,64,106,True
99,65,109,True
100,66,110,True
101,66,111,True
102,66,112,True
103,67,99,True
104,68,128,True
105,69,117,True
106,69,118,True
107,69,119,True
108,69,120,True
109,70,115,True
110,71,130,True
111,72,116,True
112,73,108,True
113,74,107,True
114,75,126,True
115,77,127,False
117,79,123,False
118,79,124,False
119,80,125,True
120,81,123,True
121,81,124,True
122,82,33,False
123,83,110,False
124,83,111,False
125,83,112,False
126,84,139,True
127,85,140,False
128,86,139,True
129,87,140,True
130,88,145,True
131,88,146,True
132,89,143,True
133,90,142,True
134,91,141,True
135,92,125,True
136,94,129,True
137,93,154,True
138,93,155,True
139,95,84,False
140,95,85,False
141,96,156,True
142,97,150,False
143,97,37,False
144,98,150,True
145,99,153,True
146,100,152,True
147,101,157,True
148,101,158,True
149,102,84,True
150,102,85,True
151,102,159,True
152,102,160,True
153,103,161,True
154,104,162,True
155,105,167,True
156,106,175,True
157,107,168,True
158,108,169,True
159,108,170,True
160,109,174,True
161,108,171,True
162,108,172,True
163,110,176,True
164,111,180,True
165,112,179,True
166,113,177,True
167,114,181,True
168,115,182,True
169,116,183,True
170,117,184,True
171,118,185,True
172,120,190,True
173,121,191,True
174,122,189,True
175,119,186,True
176,119,187,True
177,123,193,True
178,124,194,True
179,125,194,True
180,126,192,True
181,128,195,True
182,128,196,True
183,128,197,True
184,128,198,True
185,129,202,True
186,127,199,True
187,130,203,True
188,131,204,True
189,132,200,True
190,133,203,True
191,134,210,True
192,134,211,True
193,135,212,True
194,135,213,True
195,136,209,True
196,137,216,True
