id,job_number,pcn,time_created,sequence,time_submitted,created_by_id,requested_lab_id,number,request_type_id
1,,,2023-02-24 15:14:14.213840,1,,7,2,LR-23-00001,1
2,,,2023-02-24 15:16:20.767511,2,,7,2,LR-23-00002,1
3,230105,,2023-02-28 09:33:33.062038,3,,8,2,LR-23-00003,1
4,220473,,2023-06-21 10:44:15.735302,4,2023-06-21 10:53:16.797670,8,1,LR-23-00004,1
5,220473,,2023-06-21 11:06:11.526704,5,,8,1,LR-23-00005,1
6,220473,,2023-06-21 11:12:20.904333,6,2023-06-21 11:14:59.811048,8,1,LR-23-00006,1
7,,,2023-07-17 11:16:17.652896,7,2023-07-17 11:59:15.859266,8,1,LR-23-00007,1
8,,,2023-07-17 12:16:24.045597,8,2023-07-17 12:24:31.030180,8,1,LR-23-00008,1
9,,,2023-07-25 14:31:54.262028,9,2023-07-25 14:46:16.707083,8,1,LR-23-00009,1
10,230317,4288,2023-07-25 14:48:30.065461,10,2023-07-25 15:02:24.828984,11,1,LR-23-00010,1
11,,4106,2023-07-31 11:50:07.322309,11,2023-07-31 11:53:16.699358,8,1,LR-23-00011,1
12,230336,2711,2023-08-01 15:22:24.596892,12,2023-08-01 15:28:56.586029,12,1,LR-23-00012,1
13,230168,4061,2023-08-02 10:50:12.149978,13,2023-08-02 10:53:21.998570,8,1,LR-23-00013,1
14,230265,4319,2023-08-02 16:55:48.420411,14,2023-08-02 16:57:15.073726,8,1,LR-23-00014,1
15,,2856,2023-08-07 15:33:10.355170,15,2023-08-07 15:40:54.980170,12,1,LR-23-00015,1
16,,2333,2023-08-10 10:49:53.025695,16,2023-08-10 10:53:48.994445,12,1,LR-23-00016,1
17,2749,,2023-08-11 15:07:13.193255,17,2023-08-11 15:22:48.630755,8,1,LR-23-00017,1
18,230124,4285,2023-08-14 10:16:12.370605,18,2023-08-14 11:50:17.229980,8,1,LR-23-00018,1
19,230299,341,2023-08-14 15:33:54.755000,19,2023-08-14 15:37:06.786250,8,1,LR-23-00019,1
20,230313,2808,2023-08-28 12:40:01.109689,20,2023-08-28 12:46:17.719064,8,1,LR-23-00020,1
21,230411,,2023-09-11 10:40:02.396464,21,2023-09-28 14:37:02.732863,8,1,LR-23-00021,1
