id,test_time,location_id,test_type_id,lab_request_sample_id
1,,5,5,24
2,,3,5,24
3,,5,1,24
4,,3,1,24
5,,6,5,52
6,,4,5,52
7,,6,4,52
8,,4,4,52
9,,6,1,52
10,,4,1,52
11,,5,5,56
12,,3,5,56
13,,5,4,56
14,,3,4,56
15,,5,1,56
16,,3,1,56
17,,5,5,57
18,,3,5,57
19,,5,4,57
20,,3,4,57
21,,5,1,57
22,,3,1,57
23,,5,5,58
24,,3,5,58
25,,5,4,58
26,,3,4,58
27,,5,1,58
28,,3,1,58
29,,5,7,72
30,,5,5,72
31,,5,4,72
32,,5,1,72
33,,5,7,73
34,,5,5,73
35,,5,4,73
36,,5,1,73
37,,5,7,74
38,,5,5,74
39,,5,4,74
40,,5,1,74
41,,5,7,75
42,,5,5,75
43,,5,4,75
44,,5,1,75
45,,5,7,76
46,,5,5,76
47,,5,4,76
48,,5,1,76
49,,5,7,77
50,,5,5,77
51,,5,4,77
52,,5,1,77
53,,5,7,78
54,,5,5,78
55,,5,4,78
56,,5,1,78
57,,5,7,122
58,,4,7,123
59,,5,5,123
60,,4,5,123
61,,3,5,123
62,,5,1,123
63,,4,1,123
64,,3,1,123
65,,4,7,124
66,,5,5,124
67,,4,5,124
68,,3,5,124
69,,5,1,124
70,,4,1,124
71,,3,1,124
72,,4,7,125
73,,5,5,125
74,,4,5,125
75,,3,5,125
76,,5,1,125
77,,4,1,125
78,,3,1,125
79,,6,7,139
80,,4,7,139
81,,6,5,139
82,,4,5,139
83,,6,1,139
84,,4,1,139
85,,6,7,140
86,,4,7,140
87,,6,5,140
88,,4,5,140
89,,6,1,140
90,,4,1,140
91,,5,5,153
92,,3,5,153
93,,5,1,153
94,,3,1,153
95,,5,5,154
96,,3,5,154
97,,5,1,154
98,,3,1,154
99,,1,7,158
100,,5,5,158
101,,3,5,158
102,,5,1,158
103,,3,1,158
104,,1,7,159
105,,5,5,159
106,,3,5,159
107,,5,1,159
108,,3,1,159
109,,1,7,161
110,,5,5,161
111,,3,5,161
112,,5,1,161
113,,3,1,161
114,,6,5,168
115,,4,5,168
116,,6,4,168
117,,4,4,168
118,,6,1,168
119,,4,1,168
120,,6,5,187
121,,2,5,187
122,,6,4,187
123,,2,4,187
124,,6,1,187
125,,2,1,187
126,,4,5,188
127,,4,4,188
128,,4,1,188
129,,5,5,200
130,,3,5,200
131,,5,4,200
132,,3,4,200
133,,5,1,200
134,,3,1,200
135,,5,5,201
136,,3,5,201
137,,5,4,201
138,,3,4,201
139,,5,1,201
140,,3,1,201
141,,5,5,202
142,,3,5,202
143,,5,4,202
144,,3,4,202
145,,5,1,202
146,,3,1,202
147,,6,5,226
148,,3,5,226
149,,6,4,226
150,,3,4,226
151,,6,1,226
152,,3,1,226
153,,6,5,227
154,,3,5,227
155,,6,4,227
156,,3,4,227
157,,6,1,227
158,,3,1,227
159,,6,5,228
160,,3,5,228
161,,6,4,228
162,,3,4,228
163,,6,1,228
164,,3,1,228
165,,6,5,229
166,,3,5,229
167,,6,4,229
168,,3,4,229
169,,6,1,229
170,,3,1,229
171,,6,5,270
172,,4,5,270
173,,2,5,270
174,,6,4,270
175,,4,4,270
176,,2,4,270
177,,6,1,270
178,,4,1,270
179,,2,1,270
180,,6,5,271
181,,2,5,271
182,,6,4,271
183,,2,4,271
184,,6,1,271
185,,2,1,271
186,,6,5,276
187,,4,5,276
188,,2,5,276
189,,6,4,276
190,,4,4,276
191,,2,4,276
192,,6,1,276
193,,4,1,276
194,,2,1,276
195,,1,5,277
196,,1,4,277
213,,5,7,297
214,,5,5,297
215,,5,4,297
216,,5,1,297
217,,5,7,298
218,,5,5,298
