id,value,condition_id,reactor_parameter_id
1,28.2,1,1
2,30.0,1,7
3,1.252,1,10
4,28.2,2,1
5,30.0,2,7
6,1.252,2,10
7,66.1,3,1
8,0.84,3,10
9,33.1,4,1
10,1.1,4,10
11,35.02,5,1
12,1.263,5,10
13,50.71,6,1
14,0.924,6,10
15,117.6,7,1
16,0.981,7,10
17,32.6,8,1
18,1.098,8,10
19,22.4,9,1
20,1.219,9,10
21,500.0,10,1
22,1.04,10,10
23,25.58,11,1
24,1.571,11,10
25,25.58,12,1
26,1.571,12,10
27,25.58,13,1
28,1.571,13,10
29,25.58,14,1
30,1.571,14,10
31,10.85,15,1
32,1.333,15,10
33,40.09,16,1
34,1.0,16,10
35,57.7136,17,1
36,8.0,17,2
37,0.801,17,10
38,57.834,18,1
39,7.88,18,2
40,0.801,18,10
41,31.4,19,1
42,1.1,19,10
43,94.0,20,1
44,1.021,20,10
45,13.92,21,1
46,1.46,21,10
47,171.0,22,1
48,0.929,22,10
49,101.62,23,1
50,0.972,23,10
51,29.1,24,1
52,1.106,24,10
53,10.7,25,1
54,1.327,25,10
55,26.15,26,1
56,1.06,26,10
57,26.59,27,1
58,1.1,27,10
59,44.37,28,1
60,100.0,28,7
61,1.297,28,10
62,44.04,29,1
63,1.199,29,10
64,15.3,30,1
65,1.234,30,10
66,35.5,31,1
67,1.18,31,10
68,105.33,32,1
69,1.0,32,10
70,105.33,33,1
71,1.0,33,10
72,13.0,34,1
73,25.6,35,1
74,1.571,35,10
75,31.0,36,1
76,1.28,36,10
77,100.0,37,7
78,113.0,38,1
79,0.92,38,10
80,48.5,39,1
81,1.05,39,10
82,30.0,40,1
83,1.25,40,10
84,378.2,41,1
85,6.0,41,5
86,600.0,41,6
87,1.0,41,10
88,27.9,42,1
89,1.22,42,10
90,74.49,43,1
91,65.9,43,7
92,1.0,43,8
93,1.0,43,9
94,0.947,43,10
95,26.34,44,1
96,52.55,44,7
97,1.05,44,8
98,1.05,44,9
99,100.0,45,1
100,1.001,45,10
101,62.93,46,1
102,0.976,46,10
103,131.19,47,1
104,0.987,47,10
105,29.2,48,1
106,1.25,48,10
107,66.5,49,1
108,0.976,49,10
109,36.9,50,1
110,20.8,51,1
111,1.2,51,10
112,36.05,52,1
113,1.0,52,10
114,54.22,53,1
115,7.39,53,2
116,1.087,53,10
117,25.3,54,1
118,1.233,54,10
119,18.22,55,1
120,0.999,55,10
121,245.09,56,1
122,0.973,56,10
123,80.22,57,1
124,0.963,57,10
125,36.37,58,1
126,0.942,58,10
127,79.98,59,1
128,1.013,59,10
129,36.68,60,1
130,1.086,60,10
131,95.2,61,1
132,1.011,61,10
133,21.66,62,1
134,2.222,62,10
135,16.0,63,1
136,92.3,63,7
137,1.231,63,10
138,10.42,64,1
139,86.8,64,7
140,22.91,65,1
141,1.259,65,10
142,22.9,66,1
143,1.24,66,10
144,63.1,67,1
145,0.905,67,10
146,27.5,68,1
147,100.0,68,7
148,1.1,68,10
149,31.0,69,1
150,1.18,69,10
151,38.94,70,1
152,1.028,70,10
153,52.0,71,1
154,0.904,71,10
155,22.89,72,1
156,1.223,72,10
157,70.7,73,1
158,0.983,73,10
159,13.96,74,1
160,1.71,74,10
161,19.6,75,1
162,1.238,75,10
163,15.64,76,1
164,26.09,76,7
165,1.323,76,10
166,7.92,77,1
167,100.0,77,7
168,1.3,77,10
169,15.64,78,1
170,26.09,78,7
171,1.323,78,10
172,7.92,79,1
173,100.0,79,7
174,1.3,79,10
175,60.6,80,1
176,0.94,80,10
177,25.0,81,1
178,1.1,81,10
179,24.78,82,1
180,1.182,82,10
181,15.4,83,1
182,1.542,83,10
183,22.7,84,1
184,1.1,84,10
185,10.6,85,1
186,1.33,85,10
187,90.0,86,1
188,1.022,86,10
189,19.4,87,1
190,1.542,87,10
