id,job,pcn,description,Av,Ugs,temperature,dry_O2,test_type_id,water
1,220473,,5 Layer test for both CO ox and deNOx,,2.71,176.7,0.0521,3,0.1
2,220473,,"2nd temperature, 5-layer CO ox + DeNOx",,2.71,203.4,0.0521,3,0.1
3,,,Pro-Tec CGL1 F1&F2,,2.27,354.0,0.12890000000000001,3,0.08689999999999999
4,,,Carlsbad,23.45,,436.2,0.131,3,0.11869999999999999
5,220128,,"Goreway 11, 12, 13",,3.41,374.0,0.1255,3,0.0862
6,230317,4288,PCN 4288 Port Arthur H-1000 (BASF),22.85,,335.0,0.021099999999999997,3,0.19140000000000001
7,,4106,Torrance 2F4,18.63,,367.8,0.0758,3,0.1281
8,230336,2711,Montana 1,25.07,,408.0,0.132,3,0.10220000000000001
9,230168,4061,Beaumont 41 42 43,42.96,,396.7,0.11259999999999999,3,0.09789999999999999
10,230265,4319,Curtus Bay 4319,,2.0,288.0,0.16,3,0.0766
11,,2856,Harris Plant 1A,40.34,,376.7,0.1012,3,0.16
12,,2856,Harris Plant 1B,40.34,,376.7,0.1012,3,0.16
13,,2862,Harris Plant 2A,40.34,,376.7,0.1012,3,0.16
14,,2862,Harris Plant 2B,40.34,,376.7,0.1012,3,0.16
15,,2333,Colusa Unit 2,46.0,,301.0,0.1379,3,0.076
16,2749,,Tunghsaio,22.58,,364.0,0.12140000000000001,3,0.1011
17,230124,4285,Sriracha 1 and 2,33.58,,363.28,0.1186,3,0.11130000000000001
18,230124,4285,Sriracha,33.58,,363.28,0.1186,3,0.11130000000000001
19,230299,341,Channelview 341,24.75,,340.0,0.13470000000000001,3,0.078
20,230313,2808,Borger Unit 400K 2808,21.47,,392.8,0.03,3,0.17550000000000002
21,230411,,Lawrenceburg (Lightstone),39.8,,350.0,0.1459,3,0.09880000000000001
22,230445,2076,Protest CGL1,,3.24,328.9,0.1242,3,0.1
23,230354,4345,Port Arthur B-7280,15.26,,393.33,0.0271,3,0.2341
24,230446,2706,2706 Jamaica Bay NOx Removal,15.62,,460.0,0.15689999999999998,3,0.057300000000000004
25,230462,2763,Santan 5A/B and 6,46.4,,343.3,0.1389,3,0.0747
26,,2514,Los Esteros 2514 U 1 2 3,23.76,,310.7,0.14730000000000001,3,0.09699999999999999
27,230400,4842,Cove Point 7A&B 4842,35.59,,391.67,0.1462,3,0.0659
28,220113,4848,Harbor CoGen Replacement,36.56,,377.22,0.1467,3,0.1
29,230463,324,Ontolaunee Field PN324,22.17,,338.0,0.13470000000000001,3,0.0775
30,230025,2600,Cherokee U5,50.67,,354.0,0.12480000000000001,3,0.0843
31,,378,Calpine Hermiston K test,36.03,,317.0,0.1252,3,0.0783
32,220233,4884,2-Layer  4884,17.44,,385.0,0.0208,3,0.28
33,220233,4900,Shintech 4900 1 Layer test,17.84,,385.0,0.0208,3,0.28
34,230119,2618,2618 Nebo Power Plant U1 NOx Removal,67.46,,359.0,0.1259,3,0.0886
35,,2855,Franklin 2A,40.34,,376.7,0.1012,3,0.16
36,230409,2581,Lower Mt Bethel SCR,38.36,,352.0,0.1359,3,0.07769999999999999
37,230409,2581,Lower Mt Bethel CO Ramp,,3.9,160.0,0.142,4,0.07200000000000001
38,230489,93,Syracuse,29.6,,326.0,0.142,3,0.105
39,230231,Non-Cormetech,Baytown Olefins Plant Train 3,22.56,,316.0,0.1374,3,0.054000000000000006
40,230514,2181,Taiyanggong K tests,42.45,,326.0,0.1381,3,0.075
41,230328,680,Williams MR=1 Field,,1.75,362.2,0.037000000000000005,3,0.083
42,230480,2203,Independence,40.82,,379.0,0.14300000000000002,3,0.078
43,230367,4631,Biodec Idec Meteor NOx + CO,16.18,,398.9,0.1509,3,0.059000000000000004
44,230367,4631,Biodec Idec Meteor NOx + CO - Low Load,6.75,,296.67,0.1477,4,0.086
45,230536,672,672 Mountain Creek 8,24.22,,373.3,0.0281,3,0.18280000000000002
46,230028,4914,York 6 Repl,35.26,,311.67,0.1206,3,0.13849999999999998
47,230451,4666,Columbus Coatings,17.94,,398.89,0.1417,3,0.091
48,230522,2379,Brentwood NYPA,18.31,,449.0,0.1516,3,0.0803
49,230370,2647,Garrison,32.15,,331.0,0.11560000000000001,3,0.1545
50,230535,2177,2177 Afton,,3.99,321.7,0.1259,3,0.1258
51,230418,808,808 Fayette,,4.33,356.0,0.1301,3,0.0993
52,230112,4282,4282 Heartland,50.57,,324.2,0.11460000000000001,3,0.0919
53,230443,4400,4400 Jackson Generating Station,19.87,,336.8,0.11810000000000001,3,0.1137
54,,2805,Henrietta LHT deNOx test,29.13,,426.1,0.1492,3,0.10060000000000001
55,180626,2655,2655 Brunswick County,26.28,,283.3,0.1375,3,0.07440000000000001
56,230410,5505,2-Layer system deNOx Torrance FCC,13.91,,343.3,0.04650000000000001,3,0.1485
