id,flow_rate_nm3_per_hr,inlet_temperature,dry_O2,load_id,test_condition_id,reactor_id,reactor_type_id,stabilization_time,start_time,stop_time,water,test_order
1,,,,2,1,1.0,2,,2023-10-09 14:39:12.000,2023-10-09 14:39:14.000000,,7.0
2,,,,2,2,1.0,2,,2023-10-09 14:38:09.000,2023-10-09 14:38:11.000000,,6.0
3,,,,3,3,1.0,2,,2023-10-09 14:45:41.000,2023-10-09 14:45:43.000000,,10.0
4,,,,5,3,1.0,2,,2024-01-05 12:46:15.180,2024-01-05 12:46:15.180000,,26.0
5,,,,6,3,1.0,2,,2023-10-09 14:45:19.000,2023-10-09 14:45:21.000000,,12.0
6,,,,7,3,1.0,2,,2023-10-09 14:45:08.000,2023-10-09 14:45:10.000000,,16.0
7,,,,8,4,2.0,2,,,,,9.0
8,,,,9,4,2.0,2,,,,,12.0
9,,,,10,4,2.0,2,,,,,8.0
10,,,,11,4,2.0,2,,,,,13.0
11,,,,12,4,2.0,2,,,,,15.0
12,,,,13,5,2.0,2,,,,,10.0
13,,,,14,5,2.0,2,,,,,11.0
14,,,,15,5,2.0,2,,,,,14.0
15,,,,16,6,1.0,2,,2023-10-09 14:44:11.000,2023-10-09 14:44:13.000000,,8.0
16,,,,17,7,1.0,2,,2023-10-09 14:46:43.000,2023-10-09 14:46:45.000000,,14.0
17,,,,18,8,1.0,2,,2023-10-09 14:43:47.000,2023-10-09 14:43:49.000000,,7.0
18,,,,19,9,1.0,2,,2023-10-09 14:47:43.000,2023-10-09 14:47:44.000000,,7.0
19,,,,20,10,1.0,2,,2024-01-05 12:46:15.180,2024-01-05 12:46:15.180000,,25.0
20,,,,24,11,2.0,2,,,,,1.0
21,,,,23,12,2.0,2,,,,,2.0
22,,,,21,13,2.0,2,,,,,5.0
23,,,,22,14,2.0,2,,,,,6.0
24,,,,25,15,1.0,2,,2023-10-09 14:42:18.000,2023-10-09 14:42:20.000000,,5.0
25,,,,26,16,1.0,2,,2024-01-05 12:46:15.180,2024-01-05 12:46:15.180000,,23.0
26,,,,28,16,2.0,2,,,,,16.0
27,,,,29,16,1.0,2,,2024-01-05 12:46:15.180,2024-01-05 12:46:15.180000,,24.0
28,,,,30,16,2.0,2,,,,,7.0
29,,,,31,18,1.0,2,,2023-10-09 14:46:30.000,2023-10-09 14:46:33.000000,,13.0
30,,,,33,19,1.0,2,,2024-01-05 12:46:15.180,2024-01-05 12:46:15.180000,,7.0
31,142.48590604026847,392.83,3.025833333333333,34,20,4.0,2,,,2024-10-02 09:45:18.189695,17.512799143581375,2.0
32,,,,35,21,1.0,2,,2023-10-09 14:40:17.000,2023-10-09 14:40:20.000000,,10.0
33,,,,36,19,1.0,2,,2023-10-09 14:38:29.000,2023-10-09 14:38:31.000000,,11.0
34,,,,37,22,1.0,2,,2023-10-09 14:37:12.000,2023-10-09 14:37:14.000000,,12.0
35,,,,38,22,1.0,2,,2023-10-09 14:36:41.000,2023-10-09 14:36:43.000000,,13.0
36,,,,39,23,1.0,2,,2023-10-09 14:45:53.000,2023-10-09 14:45:55.000000,,9.0
37,,,,40,24,1.0,2,,2023-10-09 14:34:16.000,2023-10-09 14:34:27.000000,,5.0
38,,,,41,25,1.0,2,,2023-10-09 14:48:45.000,2023-10-09 14:48:47.000000,,8.0
39,,,,42,26,1.0,2,,,2023-12-05 13:56:17.000000,,49.0
40,,,,43,26,1.0,2,,,2023-12-05 13:56:00.000000,,50.0
