id,quantity,project_number,date_arrived,facility_id,unit_id
1,1,Clifty Creek,2023-02-22,1196.0,2785.0
5,1,Dominion Cove Point,2023-06-08,272.0,3099.0
6,1,Dominion Cove Point,2023-06-08,272.0,3099.0
8,1,Carlsbad Energy Center,2023-06-15,592.0,
10,1,Georgia Power McDonough,2023-06-15,1484.0,
11,4,ProTec,2023-06-22,1665.0,14.0
12,1,BASF Port Author,2023-07-12,887.0,2684.0
13,1,Capital Power Goreway,2023-07-13,1673.0,3904.0
14,1,PBF Torrance,2023-07-27,873.0,2689.0
15,1,ExxonMobil Beaumont,2023-07-27,319.0,2049.0
16,1,Sisu Energy El Paso,2023-07-27,389.0,540.0
18,1,Curtis Bay,2023-07-27,1179.0,2792.0
20,2,Taiwan Power,2023-07-25,433.0,
21,1,Southern Power Plant Harris,2023-08-04,559.0,734.0
22,1,Vigor Solution Sriracha Power,2023-08-02,1539.0,
23,1,Concord Colusa Unit 2,2023-05-04,867.0,
25,1,Channelview Cogeneration,2023-08-11,1052.0,2523.0
26,1,Phillips 66,2023-08-17,510.0,3337.0
27,1,Lawrence,2023-08-23,1448.0,3350.0
29,1,Siemens EIF Channelview 2,2023-09-12,1052.0,2522.0
30,1,BASF Port Arthur,2023-09-13,887.0,2286.0
31,1,Pro Tec Coating,2023-09-13,1665.0,13.0
32,1,Jamaica Bay,2023-09-20,333.0,292.0
33,1,SRP Satan 6,2023-09-26,444.0,525.0
34,1,Cove Point 7A and 7B,2023-09-27,272.0,5280.0
35,1,Exxon Beaumont,2023-09-28,319.0,272.0
36,1,Calpine Los Esteros,2023-09-29,226.0,2954.0
37,1,Ontelaunee Power,2023-10-13,1418.0,3248.0
38,1,UAMPS Nebo Power,2023-10-13,1788.0,5145.0
40,1,XCEL Cherokee,2023-10-16,307.0,243.0
41,1,Harbor Cogen,2023-10-16,1675.0,3911.0
42,1,UAMPS Nebo,2023-10-17,1788.0,5145.0
43,2,Shintech,2023-10-17,431.0,777.0
44,1,Calpine Hermiston,2023-10-20,219.0,2087.0
45,1,Lakeside Syracuse,2023-10-20,1638.0,3822.0
46,1,EIF Channelview 4,2023-10-23,1052.0,2524.0
47,1,Lower Mt Bethel,2023-10-24,648.0,2442.0
48,1,Southern Company Franklin,2023-10-27,558.0,731.0
49,1,Exxon Baytown Olefins,2023-10-27,716.0,3159.0
50,1,Heartland CUB,2023-11-02,1142.0,2682.0
51,1,Beijing Energy,2023-10-31,1300.0,3002.0
52,4,Dominion williams,2023-10-31,363.0,344.0
53,1,NRG Cottonwood,2023-11-06,111.0,3820.0
54,1,Vistra Fayette,2023-11-06,1108.0,2621.0
55,1,Independence Way,2023-11-07,1006.0,5329.0
56,1,Jackson Generation,2023-11-07,1683.0,5180.0
57,1,Biogen IDEC,2023-11-07,1472.0,3402.0
59,1,Mountain Creek,2023-11-07,1651.0,3840.0
60,1,Calpine York 6,2023-11-10,254.0,784.0
61,1,Garrison,2023-11-10,11.0,20.0
63,1,Lakeland,2023-11-10,602.0,823.0
64,1,Afton Generating,2023-11-15,,
65,1,Afton Generating,2023-11-15,1847.0,5397.0
66,1,New York Power Authority,2023-11-10,1259.0,2894.0
67,1,Columbus Coatings,2023-11-15,1318.0,3031.0
68,1,FCC Torrence,2023-11-13,873.0,2500.0
70,1,Calpine Bosque,2023-11-16,194.0,3216.0
71,1,Dominion Brunswick,2023-11-17,53.0,105.0
72,1,Exxon Gulf Coast,2023-11-17,1824.0,5263.0
73,1,Dupoint,2023-11-17,,
74,1,San Joaquin Henrietta,2023-11-17,503.0,616.0
75,1,Sabine River Works,2023-11-17,625.0,866.0
76,2,El Dorado,2023-11-28,,
77,5,Sentinel Energy,2023-11-29,702.0,2015.0
78,2,El Dorado,2023-11-27,290.0,759.0
79,2,Calpine Wolfskill,2023-11-27,253.0,3239.0
80,1,Calpine Feather River,2023-11-27,210.0,3217.0
81,1,calpine Lambie,2023-11-27,225.0,2953.0
82,1,calpine solano creed,2023-11-27,202.0,2943.0
83,1,Three Rivers,2023-11-30,469.0,2127.0
84,1,Tenaris,2023-11-23,456.0,551.0
85,1,Kendall Energy,2023-11-30,1479.0,3423.0
86,1,Linkou,2023-12-04,1107.0,2618.0
87,1,Calpine Bethlehem,2023-12-05,192.0,2938.0
88,1,ProTec Coating,2023-12-06,3.0,15.0
89,1,Valero Corpus Christi,2023-12-07,391.0,401.0
90,1,Tiverton Power,2023-12-08,1397.0,3202.0
91,2,Mariposa,2023-12-18,897.0,2273.0
92,1,Santee Cooper,2023-12-21,309.0,339.0
93,1,Sriracha Unit 2,2023-12-29,1174.0,2751.0
94,1,Redbud Units 1-3,2023-12-29,1048.0,2516.0
95,1,Gila River,2023-12-22,1090.0,2584.0
96,1,Treasure Coast,2024-01-05,985.0,2975.0
97,1,Columbia Energy,2024-01-08,1447.0,3344.0
98,1,LAX CUP,2024-01-12,1028.0,2493.0
99,2,GenConn Devon - no PO,2024-01-12,140.0,
100,1,Calpine Pastoria,2024-01-17,238.0,3284.0
101,1,City of Burbank Magnolia,2024-01-22,529.0,661.0
102,2,Hopewell,2024-01-22,1361.0,5398.0
103,1,Mont Belvieu,2024-01-23,541.0,679.0
104,1,Almond Power,2024-01-24,1256.0,3398.0
105,1,Jamaica Bay,2024-02-06,333.0,292.0
106,1,Siemens Energy,2024-02-09,,
107,1,Duke Lincoln County,2024-02-09,78.0,2279.0
108,1,Calpine Hermiston,2024-02-13,219.0,2086.0
109,1,Luna Energy,2024-02-16,995.0,2435.0
110,1,Cane Island,2024-02-28,1429.0,5399.0
111,1,Hamakua,2024-02-29,415.0,448.0
112,2,Phillips 66 GCF and BO,2024-02-29,983.0,2655.0
113,2,Mariposa 700 & 900,2024-03-12,897.0,2274.0
114,1,Calpine Bethpage,2024-03-12,193.0,5441.0
115,1,Calpine Otay Mesa,2024-03-13,236.0,2964.0
116,1,Winchester,2024-03-20,1011.0,4039.0
117,1,Calpine Morgen,2024-03-20,233.0,2962.0
118,1,Calpine Jack Fusco,2024-03-21,195.0,403.0
119,1,Panda Temple Generation,2024-03-21,993.0,2430.0
120,1,Calpine Bethlehem Unit 7,2024-03-26,192.0,2940.0
121,1,Siemens Energy EIF Channelview Cogen,2024-03-26,1052.0,2523.0
122,1,Chevron El Segundo Train B,2024-03-27,471.0,3057.0
123,1,Medicine Hat,2024-04-02,1565.0,3647.0
124,1,Duke Lincoln County,2024-04-04,78.0,2279.0
125,1,Ennis Power,2024-04-05,570.0,766.0
126,1,TVA Gallatin,2024-04-05,41.0,67.0
127,1,Calpine Pastoria,2024-04-08,238.0,3284.0
128,1,Ontelaunee Power Unit 2,2024-04-10,1418.0,3249.0
129,1,Plant Harris (Southern Power),2024-04-10,559.0,734.0
130,1,Plant Harris (Southern Power),2024-04-10,559.0,735.0
131,1,Plant Harris (Southern Power),2024-04-10,559.0,736.0
132,1,Plant Harris (Southern Power),2024-04-10,559.0,737.0
133,1,SAFI Energy,2024-04-10,589.0,795.0
134,1,SAFI Energy,2024-04-10,589.0,796.0
135,1,Calpine Bethpage,2024-04-11,193.0,2462.0
136,1,Calpine Westbrook,2024-04-11,251.0,2966.0
137,1,Santan,2024-04-11,444.0,606.0
138,1,Southern Power Rowan,2024-04-17,677.0,956.0
139,3,Westlake,2024-04-18,,
140,3,Westlake,2024-04-18,591.0,3401.0
141,1,Pratt and Whitney,2024-04-19,1148.0,2692.0
142,2,Calpine Cumberland,2024-04-19,204.0,2258.0
143,1,XCEL Riverside,2024-04-23,1197.0,2791.0
144,2,Calpine Bethpage,2024-04-23,193.0,5441.0
145,1,Calpine Los Medanos,2024-04-23,227.0,2959.0
146,1,Raytheon Collins Hamilton,2024-04-23,1069.0,2681.0
147,1,EIF Channelview,2024-04-26,1052.0,2521.0
148,1,St Joseph Energy Center,2024-04-23,1390.0,3190.0
149,1,Pratt and Whitney East Hartford,2024-04-23,1140.0,2680.0
150,1,Duke Energy Edwardsport,2024-04-26,102.0,5450.0
151,1,Exxon Mobil Baytown Olefins,2024-04-26,716.0,2520.0
152,1,Calpine Russell City,2024-04-30,242.0,3257.0
153,1,Calpine Channel Energy Center,2024-04-30,10.0,18.0
