id,title,photo,sample_id
1,U1L1,inspection/2023/02/24/20230222_205138000_iOS.jpg,1
2,U1L1,inspection/2023/02/24/20230222_205657000_iOS.jpg,1
3,-,inspection/2023/02/24/20230222_205657000_iOS_hplTPu9.jpg,2
4,-,inspection/2023/02/24/20230222_211223000_iOS.jpg,3
5,In Box,inspection/2024/06/10/IMG_6980.JPG,264
6,In Box,inspection/2024/06/10/IMG_6998.JPG,265
7,In Box,inspection/2024/06/10/IMG_6998_liHfhIm.JPG,265
8,In Box,inspection/2024/06/10/IMG_6998_NJNPA07.JPG,265
9,In Box,inspection/2024/06/10/IMG_6986_17TqyHV.JPG,264
10,On Box,inspection/2024/06/11/IMG_7195.JPG,269
11,On Box,inspection/2024/06/11/IMG_7195_TGTGlWu.JPG,269
12,Wrapped in Bubble Wrap,inspection/2024/06/11/IMG_7197.JPG,269
13,Close up,inspection/2024/06/11/IMG_7199.JPG,269
14,In Box,inspection/2024/06/11/IMG_7204.JPG,270
15,In Box,inspection/2024/06/11/IMG_7212.JPG,271
16,Close Up,inspection/2024/06/11/IMG_7213.JPG,271
17,In Box,inspection/2024/06/13/IMG_7272.JPG,275
18,In Box,inspection/2024/06/13/IMG_7273.JPG,275
19,Close up,inspection/2024/06/13/IMG_7275.JPG,275
20,In Box,inspection/2024/06/13/IMG_7290.JPG,276
21,CO Button,inspection/2024/06/13/IMG_7291.JPG,276
22,CO Button Inlet,inspection/2024/06/13/IMG_7294.JPG,276
23,CO Button Outlet,inspection/2024/06/13/IMG_7295.JPG,276
24,Box,inspection/2024/06/14/IMG_6978.JPG,277
25,Paperwork,inspection/2024/06/14/IMG_6979.JPG,277
26,In Box,inspection/2024/06/14/IMG_6980.JPG,277
27,Full,inspection/2024/06/14/IMG_7334.JPG,279
28,In Box,inspection/2024/06/14/IMG_7328.JPG,279
29,Box,inspection/2024/06/14/IMG_7341.JPG,281
30,Box 2,inspection/2024/06/14/IMG_7342.JPG,281
31,Box 3,inspection/2024/06/14/IMG_7343.JPG,281
32,Box 4,inspection/2024/06/14/IMG_7344.JPG,281
33,In Box,inspection/2024/06/17/IMG_7367.JPG,283
34,Samples,inspection/2024/06/17/IMG_7369.JPG,283
35,In Box,inspection/2024/06/17/IMG_7379.JPG,284
36,In Box,inspection/2024/06/17/IMG_7490.JPG,289
37,In Box,inspection/2024/06/17/IMG_7492.JPG,289
38,Paperwork,inspection/2024/06/17/IMG_7491_Pth6HTV.JPG,289
39,Sample,inspection/2024/06/18/IMG_7558.JPG,296
40,Sample Marking,inspection/2024/06/20/IMG_7578.JPG,298
41,Bag,inspection/2024/06/20/IMG_7575.JPG,298
42,In Box,inspection/2024/06/20/IMG_7253.JPG,301
44,In Box 2,inspection/2024/06/20/IMG_7254.JPG,301
45,Full,inspection/2024/06/20/IMG_7017.JPG,302
46,full,inspection/2024/06/20/IMG_7020.JPG,302
47,Samples,inspection/2024/06/20/IMG_7013.JPG,303
48,Samples,inspection/2024/06/20/IMG_7014.JPG,303
49,Samples,inspection/2024/06/20/IMG_7016.JPG,303
50,Samples,inspection/2024/06/20/IMG_7013_nH1QPKo.JPG,304
51,Samples,inspection/2024/06/20/IMG_7016_0hquqWs.JPG,304
52,ID,inspection/2024/06/20/IMG_7081.JPG,304
53,In Box,inspection/2024/06/20/IMG_7030_doqlHbV.JPG,307
54,In Box,inspection/2024/06/20/IMG_7030_fVK7ndi.JPG,308
55,Samples,inspection/2024/07/15/IMG_7662_0HHqv0r.JPG,313
56,Paperwork,inspection/2024/07/15/IMG_7660.JPG,313
57,In Plastic,inspection/2024/07/22/IMG_7634.JPG,318
58,In Plastic,inspection/2024/07/22/IMG_7635.JPG,318
59,Sample #,inspection/2024/07/22/IMG_7637.JPG,318
60,In Plastic,inspection/2024/07/22/IMG_7634_slBEA1U.JPG,318
61,In Plastic,inspection/2024/07/22/IMG_7635_nb3UFNb.JPG,318
62,Sample Number,inspection/2024/07/22/IMG_7637_r3xzWcz.JPG,318
63,In Box,inspection/2024/07/22/IMG_7612.JPG,319
64,Paperwork,inspection/2024/07/22/IMG_7611.JPG,319
65,Sample #,inspection/2024/07/22/IMG_7624.JPG,320
66,Sample,inspection/2024/07/22/IMG_7626.JPG,320
67,In Crate,inspection/2024/07/30/IMG_7643.JPG,323
68,In Crate,inspection/2024/07/30/IMG_7644.JPG,323
69,In Crate,inspection/2024/07/30/IMG_7643_A7a2xzV.JPG,323
70,Marking,inspection/2024/07/30/IMG_7646.JPG,323
71,Marking,inspection/2024/07/30/IMG_7647.JPG,323
72,Marking,inspection/2024/07/30/IMG_7649.JPG,323
73,In Box,inspection/2024/07/30/IMG_7602.JPG,324
74,Marking,inspection/2024/07/30/IMG_7603_FR2qTo2.JPG,324
75,Marking,inspection/2024/07/30/IMG_7604.JPG,324
76,Marking,inspection/2024/07/30/IMG_7605.JPG,324
77,Internal Wall Tear,inspection/2024/07/30/IMG_7606.JPG,324
78,In Box,inspection/2024/07/30/IMG_7706.JPG,325
79,Bubble Wrap,inspection/2024/07/30/IMG_7707.JPG,325
80,In Bag,inspection/2024/07/30/IMG_7708.JPG,325
81,Sample,inspection/2024/08/05/IMG_7746.JPG,329
82,Sample,inspection/2024/08/05/IMG_7752.JPG,330
83,Outlet 1B,inspection/2024/08/05/IMG_7777.JPG,330
84,Outlet L5,inspection/2024/08/05/IMG_7779.JPG,333
85,Outlet L3,inspection/2024/08/05/IMG_7782.JPG,332
86,Sample,inspection/2024/08/07/IMG_7727.JPG,335
87,full,inspection/2024/08/07/IMG_7728.JPG,335
88,Sample flow,inspection/2024/08/07/IMG_7730.JPG,335
89,Paperwork,inspection/2024/08/07/IMG_7734.JPG,336
90,Paperwork,inspection/2024/08/07/IMG_7735.JPG,336
91,Paperwork,inspection/2024/08/07/IMG_7736.JPG,336
92,sample,inspection/2024/08/07/IMG_7737.JPG,336
93,In Box,inspection/2024/08/07/IMG_7787.JPG,337
94,Paperwork,inspection/2024/08/07/IMG_7790.JPG,337
95,In Box,inspection/2024/08/07/IMG_7791.JPG,337
96,Gas Flow,inspection/2024/08/07/IMG_7793.JPG,337
97,Sample ID,inspection/2024/09/04/IMG_7334.JPG,357
98,In Box,inspection/2024/09/04/IMG_7339.JPG,358
99,In Box 2,inspection/2024/09/04/IMG_7340.JPG,358
100,Sample ID,inspection/2024/09/04/IMG_7342.JPG,358
101,Sample Matking,inspection/2024/09/04/IMG_7324.JPG,359
102,Marking,inspection/2024/09/04/IMG_7354.JPG,360
103,Marking,inspection/2024/09/04/IMG_7353_3TafJ1z.JPG,360
104,In Box,inspection/2024/09/04/IMG_7359.JPG,361
105,Marking,inspection/2024/09/04/IMG_E7364.JPG,362
106,Marking,inspection/2024/09/04/IMG_E7365.JPG,362
107,In Box,inspection/2024/09/04/IMG_7808.JPG,364
108,Paperwork,inspection/2024/09/04/IMG_7809.JPG,364
109,In Box,inspection/2024/09/04/IMG_7842.JPG,366
110,Marking,inspection/2024/09/04/IMG_7845.JPG,366
111,Marking 2,inspection/2024/09/04/IMG_7846.JPG,366
112,Marking 3,inspection/2024/09/04/IMG_7848.JPG,366
113,Marking,inspection/2024/09/04/IMG_7855.JPG,367
114,Marking 2,inspection/2024/09/04/IMG_7857.JPG,367
115,Marking,inspection/2024/09/04/IMG_7861.JPG,368
116,Marking 2,inspection/2024/09/04/IMG_7862_pPec85K.JPG,368
117,Marking 3,inspection/2024/09/04/IMG_7868.JPG,368
118,Sample ID,inspection/2024/09/05/IMG_7811.JPG,371
119,Marking,inspection/2024/09/05/IMG_7812.JPG,371
120,Marking,inspection/2024/09/05/IMG_7818.JPG,372
121,Marking 2,inspection/2024/09/05/IMG_7819.JPG,372
122,Paperwork,inspection/2024/09/05/IMG_7816.JPG,371
123,Marking,inspection/2024/09/05/IMG_7826.JPG,373
124,Paperwork,inspection/2024/09/05/IMG_7824.JPG,373
125,Sample ID,inspection/2024/09/05/IMG_7830.JPG,374
126,Paperwork,inspection/2024/09/05/IMG_7828.JPG,374
127,Paperwork,inspection/2024/09/05/IMG_7816_vYEU4Al.JPG,372
128,full,,1
129,label,,1
130,inlet,,1
131,outlet,,1
132,full,,2
133,label,,2
134,inlet,,2
135,outlet,,2
136,full,,3
137,label,,3
138,inlet,,3
139,outlet,,3
140,full,inspection/2023/06/13/IMG_5783.JPG,4
141,label,inspection/2023/06/13/IMG_5781.JPG,4
142,inlet,inspection/2023/06/13/IMG_5784.JPG,4
143,outlet,inspection/2023/06/13/IMG_5785.JPG,4
144,full,inspection/2023/06/13/IMG_5787.JPG,5
145,label,inspection/2023/06/13/IMG_5786.JPG,5
146,inlet,inspection/2023/06/13/IMG_5788.JPG,5
147,outlet,inspection/2023/06/13/IMG_5789.JPG,5
148,full,inspection/2023/06/13/IMG_5791.JPG,6
149,label,inspection/2023/06/13/IMG_5790.JPG,6
150,inlet,inspection/2023/06/13/IMG_5792.JPG,6
151,outlet,inspection/2023/06/13/IMG_5793.JPG,6
152,full,inspection/2023/06/13/IMG_5773.JPG,7
153,label,inspection/2023/06/13/IMG_5771.JPG,7
154,inlet,inspection/2023/06/13/IMG_5774.JPG,7
155,outlet,inspection/2023/06/13/IMG_5775.JPG,7
156,full,inspection/2023/06/13/IMG_5778.JPG,8
157,label,inspection/2023/06/13/IMG_5776.JPG,8
158,inlet,inspection/2023/06/13/IMG_5779.JPG,8
159,outlet,inspection/2023/06/13/IMG_5780.JPG,8
160,full,inspection/2023/06/20/IMG_5821.JPG,9
161,label,inspection/2023/06/20/IMG_5822.JPG,9
162,inlet,inspection/2023/06/20/IMG_5823.JPG,9
163,outlet,inspection/2023/06/20/IMG_5824.JPG,9
164,full,inspection/2023/06/20/IMG_5817.JPG,10
165,label,inspection/2023/06/20/IMG_5818.JPG,10
166,inlet,inspection/2023/06/20/IMG_5819.JPG,10
167,outlet,inspection/2023/06/20/IMG_5820.JPG,10
168,full,inspection/2023/06/20/IMG_5813.JPG,11
169,label,inspection/2023/06/20/IMG_5814.JPG,11
170,inlet,inspection/2023/06/20/IMG_5815.JPG,11
171,outlet,inspection/2023/06/20/IMG_5816.JPG,11
172,full,inspection/2023/06/20/IMG_5810.JPG,12
173,label,inspection/2023/06/20/IMG_5810_88mxNZy.JPG,12
174,inlet,inspection/2023/06/20/IMG_5811.JPG,12
175,outlet,inspection/2023/06/20/IMG_5812.JPG,12
176,full,inspection/2023/06/20/IMG_5807.JPG,13
177,label,inspection/2023/06/20/IMG_5807_iV5ssoq.JPG,13
