entry_date,box_sleeve_marking,other_marking,flow_direction_marked,cells_high,cells_wide,plugged_cells,sample_height,sample_width,sample_length,crate_id,sample_id
2023-02-24,12-12-23 CC U1 Layer 3,-,True,7,9,0,0.0,0.0,671.0,1,1
2023-02-24,Layer 2 CC U1 12-12-23,-,True,8,8,0,0.0,0.0,625.0,1,2
2023-02-24,12-12-23 CC U1 Layer 1,-,False,7,9,0,0.0,0.0,671.0,1,3
2023-06-13,"Cove Point 5L401, 6/8/23, layers 1,2,3","5L401, DE, 6/8/23, Layer 1",True,16,16,0,50.0,50.0,249.0,6,4
2023-06-13,"Cove Point 5L401, 6/8/23, layers 1,2,3","5L401, DE, 6/8/23, Layer 2",True,16,16,15,50.0,50.0,250.0,6,5
2023-06-13,"Cove Point 5L401, 6/8/23, layers 1,2,3","5L401, DE, 6/8/23, Layer 3",True,16,16,30,50.0,50.0,247.0,6,6
2023-06-13,"Cove Point 5L401, 6/8/23, layers 4 and 5","5L401, DE, 6/8/23, Layer 4",True,16,16,0,50.0,50.0,247.0,6,7
2023-06-13,"Cove Point 5L401, 6/8/23, layers 4 and 5","5L401, DE, 6/8/23, Layer 5",True,16,16,0,50.0,50.0,249.0,6,8
2023-06-20,N/A,"2864-0101-0038, Unit 6, Carlsbad Energy Center, 6/6/23",True,51,59,0,111.0,129.0,278.0,8,9
2023-06-20,N/A,"2864-0101-0011, Unit 7, Carlsbad Energy Center, 5/15/23",True,51,58,0,112.0,127.0,278.0,8,10
2023-06-20,N/A,"Unit 8, 2864-0101-0021, Carlsbad Energy Center, 5/22/23",True,51,56,0,112.0,121.0,275.0,8,11
2023-06-20,N/A,"Unit 9, Carlsbad Energy Center",True,51,59,0,111.0,129.0,279.0,8,12
2023-06-20,N/A,"Unit 10, Carlsbad Energy Center",True,51,58,0,112.0,127.0,279.0,8,13
2023-06-20,N/A,"4A, 4-4-23, 2311-1070-0609",True,70,70,0,150.0,150.0,235.0,10,14
2023-06-20,N/A,"4B, 4-4-23, 2311-1070-0612",True,70,70,0,150.0,150.0,235.0,10,15
2023-06-27,N/A,"F1 Exit, 2265-1275-0331",True,45,45,0,150.0,149.0,355.0,11,16
