id,number,job_number,pcn,date_entered,sample_type_id,facility_id,unit_id
1,AS23-00001,,,2023-02-24,1,1196.0,2785.0
2,AS23-00002,,,2023-02-24,2,1196.0,2785.0
3,AS23-00003,,,2023-02-24,2,1196.0,2785.0
4,5L401-L1-23-0613,,,2023-06-13,3,272.0,3099.0
5,5L401-L2-23-0613,,,2023-06-13,3,272.0,3099.0
6,5L401-L3-23-0613,,,2023-06-13,3,272.0,3099.0
7,5L401-L4-23-0613,,,2023-06-13,3,272.0,3099.0
8,5L401-L5-23-0613,,,2023-06-13,3,272.0,3099.0
9,2864-0101-0038,,,2023-06-20,1,592.0,
10,2864-0101-0011,,,2023-06-20,1,592.0,
11,2864-0101-0021,,,2023-06-20,1,592.0,
12,CARL-9-23-0619,,,2023-06-20,1,592.0,
13,CARL-10-23-0619,,,2023-06-20,1,592.0,
14,2311-1070-0609,,,2023-06-20,1,1484.0,
15,2311-1070-0612,,,2023-06-20,1,1484.0,
16,2265-1275-0331,,,2023-06-27,1,1665.0,14.0
17,2286-1275-0325,,,2023-06-27,1,1665.0,14.0
18,2197-1319-0397,,,2023-06-27,1,1665.0,14.0
19,2266-1275-0279,,,2023-06-27,1,1665.0,14.0
20,4288-0101-0470,,,2023-07-19,1,887.0,2684.0
21,GORE-11-23-0719,,,2023-07-19,3,1673.0,3904.0
22,GORE-12-23-0719,,,2023-07-19,3,1673.0,3904.0
23,GORE-13-23-0719,,,2023-07-19,3,1673.0,3904.0
24,TORR-4-23-0727,,,2023-07-27,1,873.0,2689.0
25,TORR-8-23-0727,,,2023-07-27,1,873.0,2689.0
26,BEAU-23-0727,,,2023-07-27,1,319.0,2049.0
27,2711-1209-0599,,,2023-07-27,1,389.0,540.0
28,0116-1905-0735,,,2023-08-01,1,1179.0,2792.0
29,2751-0201-0872,,,2023-08-02,1,433.0,
30,2751-0201-0854,,,2023-08-02,1,433.0,
31,1402-0068,,,2023-08-02,1,433.0,
32,MITS-2-2-23-0802,,,2023-08-02,1,433.0,
33,2862-0104-2218,,,2023-08-07,1,559.0,734.0
34,2862-0104-2207,,,2023-08-07,1,559.0,734.0
35,HARR-1B-23-0807,,,2023-08-07,1,559.0,734.0
36,9270-156,,,2023-08-07,1,559.0,734.0
37,SRIR-23-0807,,,2023-08-07,1,1539.0,
38,2333-1244-1130,,,2023-08-09,1,867.0,
39,0520-3341-3427,,,2023-08-11,1,1052.0,2523.0
40,2808-0101-0473,,,2023-08-22,1,510.0,3337.0
41,LAWR-3-23-0828,,,2023-08-28,3,1448.0,3350.0
42,0121-2417-3075,,,2023-09-13,1,1052.0,2522.0
43,4345-0101-0981,,,2023-09-13,1,887.0,2286.0
44,2076-1271-0093,,,2023-09-13,1,1665.0,13.0
45,2076-1271-0144,,,2023-09-13,1,1665.0,13.0
46,2706-2042-1456,,,2023-09-20,1,333.0,292.0
47,SANT-6-23-0926,,,2023-09-26,1,444.0,525.0
48,4842-0101-0548,,,2023-09-28,1,272.0,5280.0
49,COVE-7A-23-0928,,,2023-09-28,1,272.0,5280.0
50,COVE-A-1-23-0928,,,2023-09-28,3,272.0,5280.0
51,COVE-A-2-23-0928,,,2023-09-28,3,272.0,5280.0
52,COVE-CO-7B-23-0928,,,2023-09-28,2,272.0,5280.0
53,BEAU-23-0928,,,2023-09-29,1,319.0,272.0
54,2514-1339-0748,,,2023-09-29,1,226.0,2954.0
55,2514-1339-0762,,,2023-09-29,1,226.0,2954.0
56,0815-1324-0555,,,2023-10-13,1,1418.0,3248.0
57,2364-1300-0663,,,2023-10-13,1,1788.0,5145.0
58,2364-1300-0645,,,2023-10-13,1,1788.0,5145.0
59,CHER-5-23-1016,,,2023-10-16,1,307.0,243.0
60,4848-0101-0040,,,2023-10-16,1,1675.0,3911.0
61,2618-1011-0459,,,2023-10-17,1,1788.0,5145.0
62,SHIN-1-23-1017,,,2023-10-17,1,431.0,777.0
63,4884-0101-0431,,,2023-10-17,1,431.0,777.0
64,SHIN-D-23-1017,,,2023-10-17,1,431.0,777.0
65,1019-1378-0506,,,2023-10-20,1,219.0,2087.0
66,0221-1040-1461,,,2023-10-23,1,1638.0,3822.0
67,0514-1341-1686,,,2023-10-23,1,1052.0,2524.0
68,2581-1254-1039,,,2023-10-24,1,648.0,2442.0
69,2581-1254-1078,,,2023-10-24,1,648.0,2442.0
