id,app_label,model
5,admin,logentry
2,auth,group
1,auth,permission
3,auth,user
4,contenttypes,contenttype
38,FCUP,addresses
39,FCUP,addresstypes
40,FCUP,cleaningdevicetypes
41,FCUP,countries
42,FCUP,equipmenttypes
43,FCUP,facilities
44,FCUP,facilitynotes
45,FCUP,facilitytypes
46,FCUP,fueltypes
47,FCUP,globalregions
48,FCUP,obsoletefacilitynames
49,FCUP,obsoleteunitnames
50,FCUP,people
51,FCUP,peoplefacilities
52,FCUP,personroles
53,FCUP,scrlayers
54,FCUP,scrs
55,FCUP,states
56,FCUP,unitclass
57,FCUP,unitequipment
58,FCUP,unitfueltypes
59,FCUP,unitnotes
60,FCUP,unitoperators
61,FCUP,units
62,FCUP,unitstatus
63,FCUP,unittypes
64,Global,billingmilestonegroupmembers
65,Global,billingmilestonegroups
66,Global,billingmilestonetypes
96,Global,catalystbasedparts
67,Global,catalystformulationcomponents
68,Global,catalystgeometrytypes
69,Global,catalyststandardformulations
70,Global,catalysttypes
71,Global,companies
72,Global,controllingcases
92,Global,corrugatedcatalysts
73,Global,edgehardeningtypes
74,Global,flowdirections
75,Global,guaranteeparameters
76,Global,guaranteetypes
77,Global,hgoperatingconditions
93,Global,honeycombcatalysts
98,Global,moduledetails
99,Global,modulejackingtype
78,Global,modulematerials
97,Global,modulesealinglocation
79,Global,modulestyles
80,Global,moduletypes
81,Global,operatingconditions
82,Global,operatingconditiontypes
83,Global,paymentterms
84,Global,plantlocations
94,Global,platecatalysts
95,Global,roundhoneycombcatalysts
85,Global,scopeitems
86,Global,scopetypes
87,Global,shippingterms
88,Global,signoff
89,Global,signofftemplate
90,Global,standardformulationcomponents
91,Global,userprofile
24,lab_requests,chemistryresults
27,lab_requests,fieldsampletracking
6,lab_requests,laboratory
7,lab_requests,labrequest
20,lab_requests,labrequestnote
8,lab_requests,labrequestsample
21,lab_requests,labrequestsampletesttype
25,lab_requests,locationtest
9,lab_requests,reactor
10,lab_requests,reactorload
11,lab_requests,reactorloadsamples
105,lab_requests,reactorlocation
12,lab_requests,reactorparameter
13,lab_requests,reactortest
14,lab_requests,reactortestcondition
15,lab_requests,reactortestconditionparameter
22,lab_requests,reactortestmeasurmentparameter
16,lab_requests,reactortestparameter
103,lab_requests,reactortestrun
106,lab_requests,requesttype
19,lab_requests,samplinglocation
23,lab_requests,testconditionmeasurmentparameter
26,lab_requests,testconditiontype
17,lab_requests,testsampletype
18,lab_requests,testtype
102,lab_requests,testworkbook
104,lab_requests,testworksheet
28,samples,sample
33,samples,samplecrate
37,samples,samplecratephoto
36,samples,samplegeometry
35,samples,sampleinspection
34,samples,sampleinspectionphoto
29,samples,samplelocation
30,samples,samplenumber
31,samples,sampletype
32,samples,sampletypelocation
100,sessions,session
101,sites,site
